# frequency [Hz], storage [Mpa], loss [MPa], temperature [Celcius]
9.999990000000000268e-02,2.073057851239669560e+02,1.136106519742883414e+01,-4.000000000000000000e+01
1.258900000000000019e-01,2.092865013774105023e+02,1.194269972451790807e+01,-4.000000000000000000e+01
1.584800000000000098e-01,2.109779614325069304e+02,1.225445362718090081e+01,-4.000000000000000000e+01
1.995200000000000029e-01,2.125904499540863526e+02,1.224224058769513590e+01,-4.000000000000000000e+01
2.511800000000000144e-01,2.141808999081726199e+02,1.219274563820018464e+01,-4.000000000000000000e+01
3.162200000000000011e-01,2.158347107438017076e+02,1.226033057851239505e+01,-4.000000000000000000e+01
3.980989999999999807e-01,2.173305785123967269e+02,1.220146923783287463e+01,-4.000000000000000000e+01
5.011790000000000411e-01,2.188099173553719368e+02,1.215674931129476732e+01,-4.000000000000000000e+01
6.309489999999999821e-01,2.202708907254361748e+02,1.210477502295684182e+01,-4.000000000000000000e+01
7.943189999999999973e-01,2.217107438016529102e+02,1.200688705234159848e+01,-4.000000000000000000e+01
9.999989999999999712e-01,2.231313131313131635e+02,1.187842056932966273e+01,-4.000000000000000000e+01
1.258920000000000039e+00,2.245335169880624733e+02,1.172662993572084744e+01,-4.000000000000000000e+01
1.584889999999999910e+00,2.259127640036731464e+02,1.155904499540863384e+01,-4.000000000000000000e+01
1.995260000000000034e+00,2.272727272727272805e+02,1.139035812672176284e+01,-4.000000000000000000e+01
2.511890000000000178e+00,2.286143250688705564e+02,1.122102846648301266e+01,-4.000000000000000000e+01
3.162279999999999980e+00,2.299412304866850718e+02,1.104389348025711648e+01,-4.000000000000000000e+01
3.981059999999999821e+00,2.312571166207529814e+02,1.085344352617079977e+01,-4.000000000000000000e+01
5.011860000000000426e+00,2.325638200183655044e+02,1.064499540863177351e+01,-4.000000000000000000e+01
6.309569999999999901e+00,2.338585858585858830e+02,1.043204775022956987e+01,-4.000000000000000000e+01
7.943279999999999674e+00,2.351359044995408851e+02,1.021790633608815391e+01,-4.000000000000000000e+01
1.000000000000000000e+01,2.363865932047750391e+02,1.000569329660238971e+01,-4.000000000000000000e+01
1.258929999999999971e+01,2.376023875114784119e+02,9.791184573002755798e+00,-4.000000000000000000e+01
1.584890000000000043e+01,2.387713498622589441e+02,9.571166207529845593e+00,-4.000000000000000000e+01
1.995260000000000034e+01,2.398934802571166642e+02,9.304040404040405221e+00,-4.000000000000000000e+01
2.511890000000000001e+01,2.409788797061524974e+02,9.024940312213040272e+00,-4.000000000000000000e+01
3.162280000000000157e+01,2.419164370982552725e+02,9.119568411386595130e+00,-4.000000000000000000e+01
3.981069999999999709e+01,2.428861340679522982e+02,9.004664830119375907e+00,-4.000000000000000000e+01
5.011869999999999692e+01,2.437612488521579905e+02,9.037630853994491176e+00,-4.000000000000000000e+01
6.309570000000000078e+01,2.444848484848485271e+02,9.575206611570250104e+00,-4.000000000000000000e+01
7.943280000000000030e+01,2.450000000000000568e+02,1.006363636363636438e+01,-4.000000000000000000e+01
9.999990000000000268e-02,1.545702479338843318e+02,1.417768595041322399e+01,-3.000000000000000000e+01
1.258900000000000019e-01,1.542286501377410559e+02,1.374224058769513412e+01,-3.000000000000000000e+01
1.584800000000000098e-01,1.551781450872360040e+02,1.351707988980716380e+01,-3.000000000000000000e+01
1.995200000000000029e-01,1.564150596877869646e+02,1.343498622589531699e+01,-3.000000000000000000e+01
2.511800000000000144e-01,1.577245179063361036e+02,1.339853076216712680e+01,-3.000000000000000000e+01
3.162200000000000011e-01,1.589146005509641952e+02,1.329366391184573182e+01,-3.000000000000000000e+01
3.980989999999999807e-01,1.603370064279155258e+02,1.329292929292929415e+01,-3.000000000000000000e+01
5.011790000000000411e-01,1.618751147842057208e+02,1.332699724517906503e+01,-3.000000000000000000e+01
6.309489999999999821e-01,1.634912764003673544e+02,1.337952249770431834e+01,-3.000000000000000000e+01
7.943189999999999973e-01,1.651827364554637541e+02,1.345151515151515298e+01,-3.000000000000000000e+01
9.999989999999999712e-01,1.669458218549127935e+02,1.352286501377410666e+01,-3.000000000000000000e+01
1.258920000000000039e+00,1.687566574839302120e+02,1.359191919191919240e+01,-3.000000000000000000e+01
1.584889999999999910e+00,1.706161616161616621e+02,1.365445362718090117e+01,-3.000000000000000000e+01
1.995260000000000034e+00,1.725261707988980788e+02,1.371221303948576775e+01,-3.000000000000000000e+01
2.511890000000000178e+00,1.744775022956841042e+02,1.375849403122130532e+01,-3.000000000000000000e+01
3.162279999999999980e+00,1.764628099173554006e+02,1.378696051423324143e+01,-3.000000000000000000e+01
3.981059999999999821e+00,1.784738292011019496e+02,1.379375573921028675e+01,-3.000000000000000000e+01
5.011860000000000426e+00,1.805032139577594421e+02,1.377373737373737583e+01,-3.000000000000000000e+01
6.309569999999999901e+00,1.825399449035812722e+02,1.372341597796143375e+01,-3.000000000000000000e+01
7.943279999999999674e+00,1.845702479338843318e+02,1.364481175390266543e+01,-3.000000000000000000e+01
1.000000000000000000e+01,1.865794306703397751e+02,1.351763085399449160e+01,-3.000000000000000000e+01
1.258929999999999971e+01,1.885528007346189270e+02,1.334802571166207841e+01,-3.000000000000000000e+01
1.584890000000000043e+01,1.904775022956841326e+02,1.312396694214876014e+01,-3.000000000000000000e+01
1.995260000000000034e+01,1.923526170798898249e+02,1.283544536271809200e+01,-3.000000000000000000e+01
2.511890000000000001e+01,1.941891643709825530e+02,1.249403122130395083e+01,-3.000000000000000000e+01
3.162280000000000157e+01,1.958255280073462075e+02,1.239247015610652092e+01,-3.000000000000000000e+01
3.981069999999999709e+01,1.975307621671258289e+02,1.214508723599632667e+01,-3.000000000000000000e+01
5.011869999999999692e+01,1.991386593204775011e+02,1.201928374655647502e+01,-3.000000000000000000e+01
6.309570000000000078e+01,2.005821854912764195e+02,1.222011019283746691e+01,-3.000000000000000000e+01
7.943280000000000030e+01,2.017235996326905649e+02,1.238778696051423545e+01,-3.000000000000000000e+01
9.999990000000000268e-02,9.048374655647384657e+01,1.326675849403122243e+01,-2.000000000000000000e+01
1.258900000000000019e-01,9.177364554637283334e+01,1.319219467401285861e+01,-2.000000000000000000e+01
1.584800000000000098e-01,9.354269972451791659e+01,1.313213957759412409e+01,-2.000000000000000000e+01
1.995200000000000029e-01,9.532966023875115980e+01,1.305895316804407713e+01,-2.000000000000000000e+01
2.511800000000000144e-01,9.712213039485769173e+01,1.303305785123967198e+01,-2.000000000000000000e+01
3.162200000000000011e-01,9.896326905417816988e+01,1.297190082644628362e+01,-2.000000000000000000e+01
3.980989999999999807e-01,1.008108356290174612e+02,1.294205693296602533e+01,-2.000000000000000000e+01
5.011790000000000411e-01,1.027180899908172620e+02,1.293856749311295040e+01,-2.000000000000000000e+01
6.309489999999999821e-01,1.046584022038567525e+02,1.296216712580348940e+01,-2.000000000000000000e+01
7.943189999999999973e-01,1.066262626262626583e+02,1.300431588613406930e+01,-2.000000000000000000e+01
9.999989999999999712e-01,1.086207529843893695e+02,1.307033976124885477e+01,-2.000000000000000000e+01
1.258920000000000039e+00,1.106409550045913903e+02,1.315133149678604241e+01,-2.000000000000000000e+01
1.584889999999999910e+00,1.126887052341597979e+02,1.324986225895316849e+01,-2.000000000000000000e+01
1.995260000000000034e+00,1.147676767676767753e+02,1.336932966023875302e+01,-2.000000000000000000e+01
2.511890000000000178e+00,1.168778696051423367e+02,1.351083562901744983e+01,-2.000000000000000000e+01
3.162279999999999980e+00,1.190238751147842180e+02,1.367493112947658496e+01,-2.000000000000000000e+01
3.981059999999999821e+00,1.212093663911845880e+02,1.385821854912764195e+01,-2.000000000000000000e+01
5.011860000000000426e+00,1.234370982552800911e+02,1.405583103764922193e+01,-2.000000000000000000e+01
6.309569999999999901e+00,1.257098255280073573e+02,1.425941230486685107e+01,-2.000000000000000000e+01
7.943279999999999674e+00,1.280257116620753095e+02,1.446262626262626405e+01,-2.000000000000000000e+01
1.000000000000000000e+01,1.303792470156106447e+02,1.465160697887970898e+01,-2.000000000000000000e+01
1.258929999999999971e+01,1.327557392102846734e+02,1.482011019283746656e+01,-2.000000000000000000e+01
1.584890000000000043e+01,1.351450872359963284e+02,1.495096418732782517e+01,-2.000000000000000000e+01
1.995260000000000034e+01,1.375482093663912053e+02,1.501873278236914722e+01,-2.000000000000000000e+01
2.511890000000000001e+01,1.399834710743801907e+02,1.502956841138659527e+01,-2.000000000000000000e+01
3.162280000000000157e+01,1.422681359044995588e+02,1.509843893480257293e+01,-2.000000000000000000e+01
3.981069999999999709e+01,1.446584022038567525e+02,1.504022038567493347e+01,-2.000000000000000000e+01
5.011869999999999692e+01,1.469963269054178454e+02,1.497190082644628362e+01,-2.000000000000000000e+01
6.309570000000000078e+01,1.491698806244260993e+02,1.509999999999999964e+01,-2.000000000000000000e+01
7.943280000000000030e+01,1.509586776859504198e+02,1.519770431588613313e+01,-2.000000000000000000e+01
9.999990000000000268e-02,5.102993572084481855e+01,1.138429752066115874e+01,-1.000000000000000000e+01
1.258900000000000019e-01,5.224049586776860110e+01,1.138356290174472107e+01,-1.000000000000000000e+01
1.584800000000000098e-01,5.366730945821856125e+01,1.138494031221303970e+01,-1.000000000000000000e+01
1.995200000000000029e-01,5.497731864095501209e+01,1.139742883379246940e+01,-1.000000000000000000e+01
2.511800000000000144e-01,5.621606978879707128e+01,1.135215794306703430e+01,-1.000000000000000000e+01
3.162200000000000011e-01,5.755298438934802618e+01,1.134912764003673225e+01,-1.000000000000000000e+01
3.980989999999999807e-01,5.878943985307621745e+01,1.135307621671258183e+01,-1.000000000000000000e+01
5.011790000000000411e-01,6.001735537190084102e+01,1.137832874196510602e+01,-1.000000000000000000e+01
6.309489999999999821e-01,6.123021120293849151e+01,1.140431588613406788e+01,-1.000000000000000000e+01
7.943189999999999973e-01,6.242883379247016506e+01,1.143939393939393945e+01,-1.000000000000000000e+01
9.999989999999999712e-01,6.362745638200184572e+01,1.147428833792470293e+01,-1.000000000000000000e+01
1.258920000000000039e+00,6.483792470156107868e+01,1.152442607897153515e+01,-1.000000000000000000e+01
1.584889999999999910e+00,6.607502295684115268e+01,1.158420569329660488e+01,-1.000000000000000000e+01
1.995260000000000034e+00,6.734536271809000141e+01,1.166336088154270101e+01,-1.000000000000000000e+01
2.511890000000000178e+00,6.865518824609733883e+01,1.175904499540863490e+01,-1.000000000000000000e+01
3.162279999999999980e+00,7.000615243342517147e+01,1.187529843893480574e+01,-1.000000000000000000e+01
3.981059999999999821e+00,7.140156106519742707e+01,1.200743801652892628e+01,-1.000000000000000000e+01
5.011860000000000426e+00,7.284325068870523978e+01,1.216225895316804539e+01,-1.000000000000000000e+01
6.309569999999999901e+00,7.433379247015611213e+01,1.233774104683195816e+01,-1.000000000000000000e+01
7.943279999999999674e+00,7.587208448117539206e+01,1.253856749311294827e+01,-1.000000000000000000e+01
1.000000000000000000e+01,7.745987144168962857e+01,1.275812672176308737e+01,-1.000000000000000000e+01
1.258929999999999971e+01,7.909237832874197238e+01,1.299155188246097481e+01,-1.000000000000000000e+01
1.584890000000000043e+01,8.077226813590451115e+01,1.322295684113865910e+01,-1.000000000000000000e+01
1.995260000000000034e+01,8.250495867768596270e+01,1.343884297520661164e+01,-1.000000000000000000e+01
2.511890000000000001e+01,8.430275482093665573e+01,1.364710743801652804e+01,-1.000000000000000000e+01
3.162280000000000157e+01,8.607713498622590009e+01,1.391056014692378362e+01,-1.000000000000000000e+01
3.981069999999999709e+01,8.790413223140495802e+01,1.419494949494949587e+01,-1.000000000000000000e+01
5.011869999999999692e+01,8.974334251606978796e+01,1.450367309458218479e+01,-1.000000000000000000e+01
6.309570000000000078e+01,9.152222222222223991e+01,1.491515151515151594e+01,-1.000000000000000000e+01
7.943280000000000030e+01,9.305968778696052368e+01,1.516400367309458197e+01,-1.000000000000000000e+01
9.999990000000000268e-02,2.180339761248852426e+01,7.450817263544537106e+00,0.000000000000000000e+00
1.258900000000000019e-01,2.288622589531680873e+01,7.611340679522498931e+00,0.000000000000000000e+00
1.584800000000000098e-01,2.409623507805326525e+01,7.829173553719009249e+00,0.000000000000000000e+00
1.995200000000000029e-01,2.525601469237833285e+01,7.990890725436180730e+00,0.000000000000000000e+00
2.511800000000000144e-01,2.639807162534435747e+01,8.102920110192838976e+00,0.000000000000000000e+00
3.162200000000000011e-01,2.764563820018365803e+01,8.251744719926540128e+00,0.000000000000000000e+00
3.980989999999999807e-01,2.884389348025711897e+01,8.396501377410469757e+00,0.000000000000000000e+00
5.011790000000000411e-01,3.007392102846648640e+01,8.535656565656566386e+00,0.000000000000000000e+00
6.309489999999999821e-01,3.132975206611570584e+01,8.674912764003675392e+00,0.000000000000000000e+00
7.943189999999999973e-01,3.260394857667585455e+01,8.811524334251608082e+00,0.000000000000000000e+00
9.999989999999999712e-01,3.389127640036731748e+01,8.948347107438017645e+00,0.000000000000000000e+00
1.258920000000000039e+00,3.519485766758494094e+01,9.083957759412305322e+00,0.000000000000000000e+00
1.584889999999999910e+00,3.651377410468320051e+01,9.222130394857668279e+00,0.000000000000000000e+00
1.995260000000000034e+00,3.784876033057851430e+01,9.361707988980716877e+00,0.000000000000000000e+00
2.511890000000000178e+00,3.919687786960514586e+01,9.502938475665748896e+00,0.000000000000000000e+00
3.162279999999999980e+00,4.055252525252525686e+01,9.648209366391187203e+00,0.000000000000000000e+00
3.981059999999999821e+00,4.191202938475665718e+01,9.801836547291093993e+00,0.000000000000000000e+00
5.011860000000000426e+00,4.327419651056015226e+01,9.968044077134987191e+00,0.000000000000000000e+00
6.309569999999999901e+00,4.463994490358126654e+01,1.014554637281910132e+01,0.000000000000000000e+00
7.943279999999999674e+00,4.601441689623507614e+01,1.033351698806244379e+01,0.000000000000000000e+00
1.000000000000000000e+01,4.740587695133149992e+01,1.053480257116620855e+01,0.000000000000000000e+00
1.258929999999999971e+01,4.881662075298439873e+01,1.075078053259871425e+01,0.000000000000000000e+00
1.584890000000000043e+01,5.024802571166208764e+01,1.098062442607897182e+01,0.000000000000000000e+00
1.995260000000000034e+01,5.170505050505050804e+01,1.122277318640955102e+01,0.000000000000000000e+00
2.511890000000000001e+01,5.320413223140496939e+01,1.147860422405877046e+01,0.000000000000000000e+00
3.162280000000000157e+01,5.463921028466483421e+01,1.178879706152433648e+01,0.000000000000000000e+00
3.981069999999999709e+01,5.616483011937557990e+01,1.205252525252525508e+01,0.000000000000000000e+00
5.011869999999999692e+01,5.769963269054179023e+01,1.231340679522497794e+01,0.000000000000000000e+00
6.309570000000000078e+01,5.916326905417815141e+01,1.265234159779614309e+01,0.000000000000000000e+00
7.943280000000000030e+01,6.039237832874197665e+01,1.292653810835629180e+01,0.000000000000000000e+00
9.999990000000000268e-02,2.922828282828282997e+00,1.352222222222222436e+00,1.000000000000000000e+01
1.258900000000000019e-01,3.165876951331496603e+00,1.491221303948576882e+00,1.000000000000000000e+01
1.584800000000000098e-01,3.445748393021121014e+00,1.646134067952250035e+00,1.000000000000000000e+01
1.995200000000000029e-01,3.731698806244260869e+00,1.798879706152433755e+00,1.000000000000000000e+01
2.511800000000000144e-01,4.036280991735537782e+00,1.955463728191001227e+00,1.000000000000000000e+01
3.162200000000000011e-01,4.379035812672176675e+00,2.133902662993572008e+00,1.000000000000000000e+01
3.980989999999999807e-01,4.732488521579431229e+00,2.305849403122130603e+00,1.000000000000000000e+01
5.011790000000000411e-01,5.117594123048669452e+00,2.485840220385675092e+00,1.000000000000000000e+01
6.309489999999999821e-01,5.532901744719927351e+00,2.673213957759412729e+00,1.000000000000000000e+01
7.943189999999999973e-01,5.979577594123048456e+00,2.867162534435261811e+00,1.000000000000000000e+01
9.999989999999999712e-01,6.458659320477503130e+00,3.068007346189165041e+00,1.000000000000000000e+01
1.258920000000000039e+00,6.972157943067035291e+00,3.275013774104683861e+00,1.000000000000000000e+01
1.584889999999999910e+00,7.520973370064281127e+00,3.488227731864095738e+00,1.000000000000000000e+01
1.995260000000000034e+00,8.105858585858587873e+00,3.706280991735537711e+00,1.000000000000000000e+01
2.511890000000000178e+00,8.727254361799817062e+00,3.929063360881543066e+00,1.000000000000000000e+01
3.162279999999999980e+00,9.385950413223140387e+00,4.156657483930211505e+00,1.000000000000000000e+01
3.981059999999999821e+00,1.008209366391184680e+01,4.388778696051423900e+00,1.000000000000000000e+01
5.011860000000000426e+00,1.081551882460973601e+01,4.625638200183654902e+00,1.000000000000000000e+01
6.309569999999999901e+00,1.158631772268135940e+01,4.867465564738292727e+00,1.000000000000000000e+01
7.943279999999999674e+00,1.239412304866850612e+01,5.115261707988980611e+00,1.000000000000000000e+01
1.000000000000000000e+01,1.323930211202938523e+01,5.367575757575758111e+00,1.000000000000000000e+01
1.258929999999999971e+01,1.412304866850321616e+01,5.623764921946740714e+00,1.000000000000000000e+01
1.584890000000000043e+01,1.504848484848484880e+01,5.883645546372819446e+00,1.000000000000000000e+01
1.995260000000000034e+01,1.602185491276400597e+01,6.147263544536273550e+00,1.000000000000000000e+01
2.511890000000000001e+01,1.705399449035812864e+01,6.413966942148761063e+00,1.000000000000000000e+01
3.162280000000000157e+01,1.806951331496786040e+01,6.692809917355372562e+00,1.000000000000000000e+01
3.981069999999999709e+01,1.917079889807163084e+01,6.994123048668503984e+00,1.000000000000000000e+01
5.011869999999999692e+01,2.031120293847566671e+01,7.311882460973371245e+00,1.000000000000000000e+01
6.309570000000000078e+01,2.145555555555555927e+01,7.636721763085399850e+00,1.000000000000000000e+01
7.943280000000000030e+01,2.245867768595041269e+01,7.909191919191919773e+00,1.000000000000000000e+01
9.999990000000000268e-02,1.553461891643710180e+00,5.182956841138659509e-01,2.000000000000000000e+01
1.258900000000000019e-01,1.646345270890725576e+00,5.777943067033977087e-01,2.000000000000000000e+01
1.584800000000000098e-01,1.746657483930211363e+00,6.412295684113866745e-01,2.000000000000000000e+01
1.995200000000000029e-01,1.848999081726354632e+00,7.049843893480257639e-01,2.000000000000000000e+01
2.511800000000000144e-01,1.960505050505050972e+00,7.725325987144170403e-01,2.000000000000000000e+01
3.162200000000000011e-01,2.079504132231405400e+00,8.489044995408633332e-01,2.000000000000000000e+01
3.980989999999999807e-01,2.204196510560147093e+00,9.247658402203857708e-01,2.000000000000000000e+01
5.011790000000000411e-01,2.339678604224058933e+00,1.007621671258035034e+00,2.000000000000000000e+01
6.309489999999999821e-01,2.486483011937557386e+00,1.097364554637282108e+00,2.000000000000000000e+01
7.943189999999999973e-01,2.645518824609733866e+00,1.194077134986226030e+00,2.000000000000000000e+01
9.999989999999999712e-01,2.818356290174472534e+00,1.297759412304867022e+00,2.000000000000000000e+01
1.258920000000000039e+00,3.006602387511478902e+00,1.407961432506887434e+00,2.000000000000000000e+01
1.584889999999999910e+00,3.211322314049587234e+00,1.525243342516069855e+00,2.000000000000000000e+01
1.995260000000000034e+00,3.434012855831038102e+00,1.649430670339761207e+00,2.000000000000000000e+01
2.511890000000000178e+00,3.675748393021120553e+00,1.781258034894398712e+00,2.000000000000000000e+01
3.162279999999999980e+00,3.937520661157025259e+00,1.921469237832874377e+00,2.000000000000000000e+01
3.981059999999999821e+00,4.220817263544536679e+00,2.070596877869605557e+00,2.000000000000000000e+01
5.011860000000000426e+00,4.526923783287420733e+00,2.228200183654729383e+00,2.000000000000000000e+01
6.309569999999999901e+00,4.856978879706152163e+00,2.393737373737373719e+00,2.000000000000000000e+01
7.943279999999999674e+00,5.211818181818182794e+00,2.567860422405877419e+00,2.000000000000000000e+01
1.000000000000000000e+01,5.593948576675850326e+00,2.747759412304867421e+00,2.000000000000000000e+01
1.258929999999999971e+01,6.004683195592288136e+00,2.932782369146005763e+00,2.000000000000000000e+01
1.584890000000000043e+01,6.415289256198347445e+00,3.119954086317723085e+00,2.000000000000000000e+01
1.995260000000000034e+01,6.870468319559229542e+00,3.316280991735537587e+00,2.000000000000000000e+01
2.511890000000000001e+01,7.351763085399449338e+00,3.508172635445363063e+00,2.000000000000000000e+01
3.162280000000000157e+01,7.818227731864095809e+00,3.737474747474747616e+00,2.000000000000000000e+01
3.981069999999999709e+01,8.215748393021121032e+00,3.966189164370983455e+00,2.000000000000000000e+01
5.011869999999999692e+01,9.207346189164372419e+00,4.334527089072544470e+00,2.000000000000000000e+01
6.309570000000000078e+01,9.737190082644628930e+00,4.528870523415978511e+00,2.000000000000000000e+01
7.943280000000000030e+01,1.019972451790633805e+01,4.721460055096419417e+00,2.000000000000000000e+01
9.999990000000000268e-02,9.743250688705235030e-01,1.513691460055096583e-01,3.000000000000000000e+01
1.258900000000000019e-01,9.976308539944904741e-01,1.651037649219467551e-01,3.000000000000000000e+01
1.584800000000000098e-01,1.025160697887970818e+00,1.797015610651974404e-01,3.000000000000000000e+01
1.995200000000000029e-01,1.053673094582185721e+00,1.942809917355372007e-01,3.000000000000000000e+01
2.511800000000000144e-01,1.084462809917355441e+00,2.106932966023875309e-01,3.000000000000000000e+01
3.162200000000000011e-01,1.115858585858586105e+00,2.280890725436180433e-01,3.000000000000000000e+01
3.980989999999999807e-01,1.148989898989899006e+00,2.471368227731864653e-01,3.000000000000000000e+01
5.011790000000000411e-01,1.184692378328742191e+00,2.687043158861341374e-01,3.000000000000000000e+01
6.309489999999999821e-01,1.223259871441689794e+00,2.924701561065197741e-01,3.000000000000000000e+01
7.943189999999999973e-01,1.265179063360881706e+00,3.186675849403122762e-01,3.000000000000000000e+01
9.999989999999999712e-01,1.310955004591368489e+00,3.474995408631772476e-01,3.000000000000000000e+01
1.258920000000000039e+00,1.360835629017447479e+00,3.792580348943985213e-01,3.000000000000000000e+01
1.584889999999999910e+00,1.415206611570248185e+00,4.141460055096418680e-01,3.000000000000000000e+01
1.995260000000000034e+00,1.474462809917355344e+00,4.526097337006427801e-01,3.000000000000000000e+01
2.511890000000000178e+00,1.539044995408632044e+00,4.948806244260789966e-01,3.000000000000000000e+01
3.162279999999999980e+00,1.609494949494949756e+00,5.413461891643710500e-01,3.000000000000000000e+01
3.981059999999999821e+00,1.686868686868687073e+00,5.924710743801653301e-01,3.000000000000000000e+01
5.011860000000000426e+00,1.771551882460973726e+00,6.487355371900828116e-01,3.000000000000000000e+01
6.309569999999999901e+00,1.863599632690541963e+00,7.103719008264463008e-01,3.000000000000000000e+01
7.943279999999999674e+00,1.963085399449036039e+00,7.777906336088156181e-01,3.000000000000000000e+01
1.000000000000000000e+01,2.071404958677686370e+00,8.472277318640955013e-01,3.000000000000000000e+01
1.258929999999999971e+01,2.186813590449954159e+00,9.175022956841140109e-01,3.000000000000000000e+01
1.584890000000000043e+01,2.296382001836547726e+00,9.980073461891644238e-01,3.000000000000000000e+01
1.995260000000000034e+01,2.420413223140496228e+00,1.076694214876033007e+00,3.000000000000000000e+01
2.511890000000000001e+01,2.551928374655647591e+00,1.150110192837465739e+00,3.000000000000000000e+01
3.162280000000000157e+01,2.655243342516070193e+00,1.274380165289256350e+00,3.000000000000000000e+01
3.981069999999999709e+01,2.721239669421487761e+00,1.414407713498622821e+00,3.000000000000000000e+01
5.011869999999999692e+01,3.256556473829201437e+00,1.617217630853994503e+00,3.000000000000000000e+01
6.309570000000000078e+01,3.405996326905417870e+00,1.674003673094582423e+00,3.000000000000000000e+01
7.943280000000000030e+01,3.522258953168044382e+00,1.766492194674013083e+00,3.000000000000000000e+01
9.999990000000000268e-02,8.538080808080807937e-01,9.299540863177228889e-02,4.000000000000000000e+01
1.258900000000000019e-01,8.676262626262626343e-01,9.912488521579430889e-02,4.000000000000000000e+01
1.584800000000000098e-01,8.829504132231406066e-01,1.056556473829201315e-01,4.000000000000000000e+01
1.995200000000000029e-01,8.986712580348946711e-01,1.125197428833792646e-01,4.000000000000000000e+01
2.511800000000000144e-01,9.152718089990817818e-01,1.196354453627180986e-01,4.000000000000000000e+01
3.162200000000000011e-01,9.321946740128559394e-01,1.271184573002754892e-01,4.000000000000000000e+01
3.980989999999999807e-01,9.496143250688706683e-01,1.353654729109274590e-01,4.000000000000000000e+01
5.011790000000000411e-01,9.681267217630854516e-01,1.445876951331497018e-01,4.000000000000000000e+01
6.309489999999999821e-01,9.878696051423324631e-01,1.547337006427915718e-01,4.000000000000000000e+01
7.943189999999999973e-01,1.008943985307621638e+00,1.658053259871442031e-01,4.000000000000000000e+01
9.999989999999999712e-01,1.031487603305785372e+00,1.779834710743802006e-01,4.000000000000000000e+01
1.258920000000000039e+00,1.055592286501377597e+00,1.912460973370064543e-01,4.000000000000000000e+01
1.584889999999999910e+00,1.081404958677686157e+00,2.057998163452708917e-01,4.000000000000000000e+01
1.995260000000000034e+00,1.109146005509642041e+00,2.217713498622590207e-01,4.000000000000000000e+01
2.511890000000000178e+00,1.139008264462810116e+00,2.393976124885216217e-01,4.000000000000000000e+01
3.162279999999999980e+00,1.171414141414141463e+00,2.588539944903581747e-01,4.000000000000000000e+01
3.981059999999999821e+00,1.206611570247934084e+00,2.803103764921947016e-01,4.000000000000000000e+01
5.011860000000000426e+00,1.244481175390266703e+00,3.039320477502295836e-01,4.000000000000000000e+01
6.309569999999999901e+00,1.284573002754821003e+00,3.298732782369146466e-01,4.000000000000000000e+01
7.943279999999999674e+00,1.325987144168962573e+00,3.588815426997245539e-01,4.000000000000000000e+01
1.000000000000000000e+01,1.368264462809917648e+00,3.849283746556473873e-01,4.000000000000000000e+01
1.258929999999999971e+01,1.410780532598714831e+00,4.074086317722682149e-01,4.000000000000000000e+01
1.584890000000000043e+01,1.441671258034894709e+00,4.471010101010101101e-01,4.000000000000000000e+01
1.995260000000000034e+01,1.480752984389348326e+00,4.754839302112029986e-01,4.000000000000000000e+01
2.511890000000000001e+01,1.521579430670339850e+00,4.893783287419650740e-01,4.000000000000000000e+01
3.162280000000000157e+01,1.532176308539945131e+00,5.696244260789715685e-01,4.000000000000000000e+01
