# frequency [Hz], storage [Mpa], loss [MPa], temperature [Celcius]
9.999990000000000268e-02,2.257559999999999945e+03,1.237219999999999942e+02,-4.000000000000000000e+01
1.258900000000000019e-01,2.279130000000000109e+03,1.300560000000000116e+02,-4.000000000000000000e+01
1.584800000000000098e-01,2.297550000000000182e+03,1.334509999999999934e+02,-4.000000000000000000e+01
1.995200000000000029e-01,2.315110000000000127e+03,1.333180000000000121e+02,-4.000000000000000000e+01
2.511800000000000144e-01,2.332429999999999836e+03,1.327789999999999964e+02,-4.000000000000000000e+01
3.162200000000000011e-01,2.350440000000000055e+03,1.335149999999999864e+02,-4.000000000000000000e+01
3.980989999999999807e-01,2.366730000000000018e+03,1.328739999999999952e+02,-4.000000000000000000e+01
5.011790000000000411e-01,2.382840000000000146e+03,1.323870000000000005e+02,-4.000000000000000000e+01
6.309489999999999821e-01,2.398750000000000000e+03,1.318209999999999980e+02,-4.000000000000000000e+01
7.943189999999999973e-01,2.414429999999999836e+03,1.307549999999999955e+02,-4.000000000000000000e+01
9.999989999999999712e-01,2.429900000000000091e+03,1.293559999999999945e+02,-4.000000000000000000e+01
1.258920000000000039e+00,2.445170000000000073e+03,1.277030000000000030e+02,-4.000000000000000000e+01
1.584889999999999910e+00,2.460190000000000055e+03,1.258780000000000001e+02,-4.000000000000000000e+01
1.995260000000000034e+00,2.475000000000000000e+03,1.240409999999999968e+02,-4.000000000000000000e+01
2.511890000000000178e+00,2.489610000000000127e+03,1.221970000000000027e+02,-4.000000000000000000e+01
3.162279999999999980e+00,2.504059999999999945e+03,1.202680000000000007e+02,-4.000000000000000000e+01
3.981059999999999821e+00,2.518389999999999873e+03,1.181940000000000026e+02,-4.000000000000000000e+01
5.011860000000000426e+00,2.532619999999999891e+03,1.159240000000000066e+02,-4.000000000000000000e+01
6.309569999999999901e+00,2.546719999999999800e+03,1.136050000000000040e+02,-4.000000000000000000e+01
7.943279999999999674e+00,2.560630000000000109e+03,1.112729999999999961e+02,-4.000000000000000000e+01
1.000000000000000000e+01,2.574250000000000000e+03,1.089620000000000033e+02,-4.000000000000000000e+01
1.258929999999999971e+01,2.587489999999999782e+03,1.066260000000000048e+02,-4.000000000000000000e+01
1.584890000000000043e+01,2.600219999999999800e+03,1.042300000000000040e+02,-4.000000000000000000e+01
1.995260000000000034e+01,2.612440000000000055e+03,1.013209999999999980e+02,-4.000000000000000000e+01
2.511890000000000001e+01,2.624260000000000218e+03,9.828159999999999741e+01,-4.000000000000000000e+01
3.162280000000000157e+01,2.634469999999999800e+03,9.931210000000000093e+01,-4.000000000000000000e+01
3.981069999999999709e+01,2.645030000000000200e+03,9.806080000000000041e+01,-4.000000000000000000e+01
5.011869999999999692e+01,2.654559999999999945e+03,9.841979999999999507e+01,-4.000000000000000000e+01
6.309570000000000078e+01,2.662440000000000055e+03,1.042740000000000009e+02,-4.000000000000000000e+01
7.943280000000000030e+01,2.668050000000000182e+03,1.095930000000000035e+02,-4.000000000000000000e+01
9.999990000000000268e-02,1.683269999999999982e+03,1.543950000000000102e+02,-3.000000000000000000e+01
1.258900000000000019e-01,1.679549999999999955e+03,1.496529999999999916e+02,-3.000000000000000000e+01
1.584800000000000098e-01,1.689890000000000100e+03,1.472009999999999934e+02,-3.000000000000000000e+01
1.995200000000000029e-01,1.703359999999999900e+03,1.463069999999999879e+02,-3.000000000000000000e+01
2.511800000000000144e-01,1.717619999999999891e+03,1.459099999999999966e+02,-3.000000000000000000e+01
3.162200000000000011e-01,1.730579999999999927e+03,1.447680000000000007e+02,-3.000000000000000000e+01
3.980989999999999807e-01,1.746069999999999936e+03,1.447599999999999909e+02,-3.000000000000000000e+01
5.011790000000000411e-01,1.762819999999999936e+03,1.451310000000000002e+02,-3.000000000000000000e+01
6.309489999999999821e-01,1.780420000000000073e+03,1.457030000000000030e+02,-3.000000000000000000e+01
7.943189999999999973e-01,1.798839999999999918e+03,1.464869999999999948e+02,-3.000000000000000000e+01
9.999989999999999712e-01,1.818039999999999964e+03,1.472640000000000100e+02,-3.000000000000000000e+01
1.258920000000000039e+00,1.837759999999999991e+03,1.480159999999999911e+02,-3.000000000000000000e+01
1.584889999999999910e+00,1.858009999999999991e+03,1.486970000000000027e+02,-3.000000000000000000e+01
1.995260000000000034e+00,1.878809999999999945e+03,1.493259999999999934e+02,-3.000000000000000000e+01
2.511890000000000178e+00,1.900059999999999945e+03,1.498300000000000125e+02,-3.000000000000000000e+01
3.162279999999999980e+00,1.921680000000000064e+03,1.501399999999999864e+02,-3.000000000000000000e+01
3.981059999999999821e+00,1.943579999999999927e+03,1.502139999999999986e+02,-3.000000000000000000e+01
5.011860000000000426e+00,1.965680000000000064e+03,1.499960000000000093e+02,-3.000000000000000000e+01
6.309569999999999901e+00,1.987859999999999900e+03,1.494480000000000075e+02,-3.000000000000000000e+01
7.943279999999999674e+00,2.009970000000000027e+03,1.485920000000000130e+02,-3.000000000000000000e+01
1.000000000000000000e+01,2.031849999999999909e+03,1.472069999999999936e+02,-3.000000000000000000e+01
1.258929999999999971e+01,2.053340000000000146e+03,1.453600000000000136e+02,-3.000000000000000000e+01
1.584890000000000043e+01,2.074300000000000182e+03,1.429199999999999875e+02,-3.000000000000000000e+01
1.995260000000000034e+01,2.094719999999999800e+03,1.397779999999999916e+02,-3.000000000000000000e+01
2.511890000000000001e+01,2.114719999999999800e+03,1.360600000000000023e+02,-3.000000000000000000e+01
3.162280000000000157e+01,2.132539999999999964e+03,1.349540000000000077e+02,-3.000000000000000000e+01
3.981069999999999709e+01,2.151110000000000127e+03,1.322599999999999909e+02,-3.000000000000000000e+01
5.011869999999999692e+01,2.168619999999999891e+03,1.308899999999999864e+02,-3.000000000000000000e+01
6.309570000000000078e+01,2.184340000000000146e+03,1.330769999999999982e+02,-3.000000000000000000e+01
7.943280000000000030e+01,2.196769999999999982e+03,1.349029999999999916e+02,-3.000000000000000000e+01
9.999990000000000268e-02,9.853680000000000518e+02,1.444749999999999943e+02,-2.000000000000000000e+01
1.258900000000000019e-01,9.994149999999999636e+02,1.436630000000000109e+02,-2.000000000000000000e+01
1.584800000000000098e-01,1.018679999999999950e+03,1.430089999999999861e+02,-2.000000000000000000e+01
1.995200000000000029e-01,1.038140000000000100e+03,1.422119999999999891e+02,-2.000000000000000000e+01
2.511800000000000144e-01,1.057660000000000082e+03,1.419300000000000068e+02,-2.000000000000000000e+01
3.162200000000000011e-01,1.077710000000000036e+03,1.412640000000000100e+02,-2.000000000000000000e+01
3.980989999999999807e-01,1.097829999999999927e+03,1.409389999999999930e+02,-2.000000000000000000e+01
5.011790000000000411e-01,1.118599999999999909e+03,1.409010000000000105e+02,-2.000000000000000000e+01
6.309489999999999821e-01,1.139730000000000018e+03,1.411579999999999870e+02,-2.000000000000000000e+01
7.943189999999999973e-01,1.161160000000000082e+03,1.416169999999999902e+02,-2.000000000000000000e+01
9.999989999999999712e-01,1.182880000000000109e+03,1.423360000000000127e+02,-2.000000000000000000e+01
1.258920000000000039e+00,1.204880000000000109e+03,1.432179999999999893e+02,-2.000000000000000000e+01
1.584889999999999910e+00,1.227180000000000064e+03,1.442909999999999968e+02,-2.000000000000000000e+01
1.995260000000000034e+00,1.249819999999999936e+03,1.455920000000000130e+02,-2.000000000000000000e+01
2.511890000000000178e+00,1.272799999999999955e+03,1.471330000000000098e+02,-2.000000000000000000e+01
3.162279999999999980e+00,1.296170000000000073e+03,1.489199999999999875e+02,-2.000000000000000000e+01
3.981059999999999821e+00,1.319970000000000027e+03,1.509159999999999968e+02,-2.000000000000000000e+01
5.011860000000000426e+00,1.344230000000000018e+03,1.530680000000000121e+02,-2.000000000000000000e+01
6.309569999999999901e+00,1.368980000000000018e+03,1.552849999999999966e+02,-2.000000000000000000e+01
7.943279999999999674e+00,1.394200000000000045e+03,1.574979999999999905e+02,-2.000000000000000000e+01
1.000000000000000000e+01,1.419829999999999927e+03,1.595560000000000116e+02,-2.000000000000000000e+01
1.258929999999999971e+01,1.445710000000000036e+03,1.613909999999999911e+02,-2.000000000000000000e+01
1.584890000000000043e+01,1.471730000000000018e+03,1.628160000000000025e+02,-2.000000000000000000e+01
1.995260000000000034e+01,1.497900000000000091e+03,1.635540000000000020e+02,-2.000000000000000000e+01
2.511890000000000001e+01,1.524420000000000073e+03,1.636719999999999970e+02,-2.000000000000000000e+01
3.162280000000000157e+01,1.549299999999999955e+03,1.644219999999999970e+02,-2.000000000000000000e+01
3.981069999999999709e+01,1.575329999999999927e+03,1.637880000000000109e+02,-2.000000000000000000e+01
5.011869999999999692e+01,1.600789999999999964e+03,1.630440000000000111e+02,-2.000000000000000000e+01
6.309570000000000078e+01,1.624460000000000036e+03,1.644389999999999930e+02,-2.000000000000000000e+01
7.943280000000000030e+01,1.643940000000000055e+03,1.655029999999999859e+02,-2.000000000000000000e+01
9.999990000000000268e-02,5.557160000000000082e+02,1.239749999999999943e+02,-1.000000000000000000e+01
1.258900000000000019e-01,5.688990000000000009e+02,1.239669999999999987e+02,-1.000000000000000000e+01
1.584800000000000098e-01,5.844370000000000118e+02,1.239819999999999993e+02,-1.000000000000000000e+01
1.995200000000000029e-01,5.987029999999999745e+02,1.241179999999999950e+02,-1.000000000000000000e+01
2.511800000000000144e-01,6.121929999999999836e+02,1.236250000000000000e+02,-1.000000000000000000e+01
3.162200000000000011e-01,6.267519999999999527e+02,1.235919999999999987e+02,-1.000000000000000000e+01
3.980989999999999807e-01,6.402169999999999845e+02,1.236350000000000051e+02,-1.000000000000000000e+01
5.011790000000000411e-01,6.535890000000000555e+02,1.239099999999999966e+02,-1.000000000000000000e+01
6.309489999999999821e-01,6.667970000000000255e+02,1.241929999999999978e+02,-1.000000000000000000e+01
7.943189999999999973e-01,6.798500000000000227e+02,1.245750000000000028e+02,-1.000000000000000000e+01
9.999989999999999712e-01,6.929030000000000200e+02,1.249549999999999983e+02,-1.000000000000000000e+01
1.258920000000000039e+00,7.060850000000000364e+02,1.255010000000000048e+02,-1.000000000000000000e+01
1.584889999999999910e+00,7.195570000000000164e+02,1.261520000000000010e+02,-1.000000000000000000e+01
1.995260000000000034e+00,7.333909999999999627e+02,1.270139999999999958e+02,-1.000000000000000000e+01
